,case,model,area,variable,mean,std,periodo,predictor
41,pycpt_GTM_EPS_UA_JJA,METEOFRANCE8,norte,spearman,0.35010038461538456,0.20638783145481543,JJA,UA
42,pycpt_GTM_EPS_UA_JJA,METEOFRANCE8,norte,two_alternative_forced_choice,62.959866346153845,7.664436949230774,JJA,UA
43,pycpt_GTM_EPS_UA_JJA,METEOFRANCE8,norte,roc_area_below_normal,0.6331065,0.07327262420590128,JJA,UA
44,pycpt_GTM_EPS_UA_JJA,METEOFRANCE8,norte,roc_area_above_normal,0.7050255000000001,0.13046295354097504,JJA,UA
45,pycpt_GTM_EPS_UA_JJA,SEAS5,sur,pearson,0.5586476428571429,0.11816311001118457,JJA,UA
46,pycpt_GTM_EPS_UA_JJA,SEAS5,sur,spearman,0.5480124285714285,0.11233083054195273,JJA,UA
47,pycpt_GTM_EPS_UA_JJA,SEAS5,sur,two_alternative_forced_choice,69.5910972857143,3.8623555538041883,JJA,UA
48,pycpt_GTM_EPS_UA_JJA,SEAS5,sur,roc_area_below_normal,0.7348527142857143,0.06789873315400197,JJA,UA
49,pycpt_GTM_EPS_UA_JJA,SEAS5,sur,roc_area_above_normal,0.805328,0.08199310718242463,JJA,UA
50,pycpt_GTM_EPS_UA_JJA,SEAS5,central,pearson,0.6361366666666667,0.07314224438076504,JJA,UA
51,pycpt_GTM_EPS_UA_JJA,SEAS5,central,spearman,0.6214492916666666,0.07736399239928482,JJA,UA
52,pycpt_GTM_EPS_UA_JJA,SEAS5,central,two_alternative_forced_choice,73.21859895833333,3.317273612155085,JJA,UA
53,pycpt_GTM_EPS_UA_JJA,SEAS5,central,roc_area_below_normal,0.8336640000000001,0.07841718075513383,JJA,UA
54,pycpt_GTM_EPS_UA_JJA,SEAS5,central,roc_area_above_normal,0.7692313333333334,0.058518185668122766,JJA,UA
55,pycpt_GTM_EPS_UA_JJA,SEAS5,norte,pearson,0.4640520769230769,0.2578978052209117,JJA,UA
56,pycpt_GTM_EPS_UA_JJA,SEAS5,norte,spearman,0.5415718461538461,0.18795857180868594,JJA,UA
